"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Ecommerce Automation","0","Hybrid E2E","1","0","Delete Order","0"
"0","Ecommerce Automation","0","API Validation","2","0","Invalid authentication payloads","0"
"0","Ecommerce Automation","0","BDD Checkout","1","0","","0"
"0","Ecommerce Automation","0","BDD Order History","1","0","","0"
"0","Ecommerce Automation","0","API Validation","1","0","Order Management","0"
"0","Ecommerce Automation","0","Hybrid E2E","1","0","Order History","0"
"0","Ecommerce Automation","0","Hybrid E2E","1","0","Checkout","0"
"0","Ecommerce Automation","0","API Validation","1","0","User Authentication","0"
"0","Ecommerce Automation","0","Hybrid E2E","1","0","Cart Management","0"
"0","Ecommerce Automation","0","BDD API Order","1","0","","0"
"0","Ecommerce Automation","0","Hybrid E2E","1","0","API order setup with UI verification","0"
"0","Ecommerce Automation","0","BDD Hybrid Order","1","0","","0"
"0","Ecommerce Automation","0","API Validation","3","0","Product Management","0"
"0","Ecommerce Automation","0","API Security","1","0","Unauthorized access","0"
"0","Ecommerce Automation","0","Hybrid E2E","1","0","Order Details","0"
"0","Ecommerce Automation","0","Hybrid E2E","1","0","Order Persistence","0"
"0","Ecommerce Automation","0","User Registration","1","0","Register user and validate login","0"
"0","Ecommerce Automation","0","API Security","1","0","Delete Order Negative","0"
"0","Ecommerce Automation","0","BDD Cart","1","0","","0"
"0","Ecommerce Automation","0","BDD Login","1","0","","0"
"0","Ecommerce Automation","0","UI Validation","1","0","Order history empty state","0"
"0","Ecommerce Automation","0","UI Validation","1","0","Negative Login","0"
