"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4027","Order history shows no orders message when API returns empty list","tests","2026-05-19","passed","2026-05-19","","test_e2e_flow","",""
"../../features/order_history.feature: User sees API-created order in order history","5269","BDD: User sees API-created order in order history","tests.step_definitions","2026-05-19","passed","2026-05-19","","test_order_history_steps","",""
"","528","Add product API rejects invalid payload","tests","2026-05-19","passed","2026-05-19","","test_api_product_flow","",""
"","5010","Order history displays API-created order","tests","2026-05-19","passed","2026-05-19","","test_order_flow","",""
"","8471","UI-created order is available through API order history","tests","2026-05-19","passed","2026-05-19","","test_checkout_flow","",""
"","4548","Newly registered user can login successfully","tests","2026-05-19","passed","2026-05-19","","test_registration_flow","",""
"","1335","Delete order API rejects invalid and unauthorized requests","tests","2026-05-19","passed","2026-05-19","","test_api_order_negative","",""
"","774","Add product API creates product successfully","tests","2026-05-19","passed","2026-05-19","","test_api_product_flow","",""
"","5313","User can view API-created order details in UI","tests","2026-05-19","passed","2026-05-19","","test_e2e_flow","",""
"","218","Login API rejects invalid payloads","tests","2026-05-19","passed","2026-05-19","","test_api_auth","",""
"../../features/checkout.feature: User places an order from checkout","7745","BDD: User places an order from checkout","tests.step_definitions","2026-05-19","passed","2026-05-19","","test_checkout_steps","",""
"../../features/api_order.feature: Create order using API","1564","BDD: Create order using API","tests.step_definitions","2026-05-19","passed","2026-05-19","","test_api_order_steps","",""
"../../features/hybrid_order.feature: API-created order is visible in UI","5371","BDD: API-created order is visible in UI","tests.step_definitions","2026-05-19","passed","2026-05-19","","test_hybrid_order_steps","",""
"","217","Create order API rejects request without authorization token","tests","2026-05-19","passed","2026-05-19","","test_api_security","",""
"","803","Login API returns a valid authentication token","tests","2026-05-19","passed","2026-05-19","","test_api_order_flow","",""
"","8781","User can complete checkout for selected product","tests","2026-05-19","passed","2026-05-19","","test_checkout_flow","",""
"","3326","Login fails with invalid password","tests","2026-05-19","passed","2026-05-19","","test_login_flow","",""
"","996","Deleted order is removed from API order history","tests","2026-05-19","passed","2026-05-19","","test_order_flow","",""
"","673","Login API rejects invalid payloads","tests","2026-05-19","passed","2026-05-19","","test_api_auth","",""
"../../features/cart.feature: User adds product to cart","6517","BDD: User adds product to cart","tests.step_definitions","2026-05-19","passed","2026-05-19","","test_cart_steps","",""
"","6087","API and UI show accessible order details","tests","2026-05-19","passed","2026-05-19","","test_order_flow","",""
"","1186","Delete product API removes created product","tests","2026-05-19","passed","2026-05-19","","test_api_product_flow","",""
"../../features/login.feature: User logs in with valid credentials","3782","BDD: User logs in with valid credentials","tests.step_definitions","2026-05-19","passed","2026-05-19","","test_login_steps","",""
"","5927","User can add product to cart and view it in cart","tests","2026-05-19","passed","2026-05-19","","test_cart_flow","",""
"","766","Create order API returns a valid order id","tests","2026-05-19","passed","2026-05-19","","test_api_order_flow","",""
